apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
1-com.volga.fourphoto2.pcap,843,408772,10,0,0,750,93,424,190730,419,218042,1.14,60.5,79,449.83,520.39,0.0,7052,2852,1.01,0.00,0.01,0.49,0.02,308.29,1.04,0.54,0.01,385.36,0.01,1
1-com.volnexmobile.notificationsounds.pcap,1189,439390,19,6,0,1060,123,709,213673,519,231203,1.08,60,64,301.37,445.48,0.0,4252,2948,1.37,0.00,0.16,0.44,0.07,196.47,66.94,0.4,0.01,257.35,0.01,1
1-com.wallpaper.aquarius.pcap,938,410349,23,0,0,749,188,488,150716,459,260293,1.73,60.0,167,308.84,567.09,0.0,5652,2852,1.06,0.02,0.00,0.41,0.04,181.89,5.68,0.41,0.01,362.12,0.01,1
1-com.wallpaper.gemini.pcap,18652,2226436,2,2108,0,18650,2,9506,1765500,9148,461744,0.26,60.0,52.0,185.72,50.47,0.01,468,1500,1.04,0.00,0.07,0.24,0.5,86.4,0.5,0.26,0.5,12.66,0.5,1
1-com.wallpaper.libra.pcap,17589,2099012,2,1993,0,17587,2,8994,1667603,8597,432217,0.26,60.0,52,185.41,50.28,0.01,468,404,1.05,0.00,0.01,0.23,0.5,85.65,0.5,0.26,0.5,12.32,0.5,1
1-com.wallpaper3mpire.nissangt_rsupercarwallpapers.pcap,766,344078,20,0,0,637,129,394,129795,372,214283,1.65,60.0,174.5,329.43,576.03,0.0,8560,2888,1.06,0.03,0.00,0.43,0.02,201.74,9.45,0.43,0.01,362.67,0.01,1
1-com.wallpapers.sweetyanushka.pcap,1095,430097,27,1,0,956,138,572,155369,532,275397,1.77,52.0,124.0,271.62,517.66,0.0,4252,2852,1.08,0.03,0.00,0.48,0.01,175.83,0.45,0.46,0.01,331.73,0.01,1
1-com.Wallpapers4Droid.MarineFish.pcap,4548,777074,20,428,0,4417,131,2332,473321,2216,303753,0.64,60.0,52.0,202.97,137.07,0.01,4306,2948,1.05,0.00,0.04,0.4,0.03,138.17,2.67,0.36,0.01,63.38,0.01,1
1-com.Wallpapers4Droid.OldCars2.pcap,925,400380,30,12,0,785,140,477,164896,450,236292,1.43,60,109.0,345.69,525.09,0.0,5724,2888,1.06,0.00,0.09,0.43,0.02,215.13,1.97,0.44,0.01,339.14,0.01,1
1-com.webstudio.ringtoneloop.pcap,625,281566,17,1,0,559,65,321,103638,314,179311,1.73,52,149.0,322.86,571.05,0.0,4252,2852,1.02,0.03,0.00,0.31,0.03,156.79,9.66,0.39,0.02,307.27,0.02,1
1-com.winter3dlivewallpaper.lwxw.pcap,732,340777,22,0,0,608,124,376,127086,358,214499,1.69,60.0,230.5,337.99,599.16,0.0,5652,2852,1.05,0.02,0.00,0.52,0.02,247.87,10.4,0.54,0.01,450.82,0.01,1
1-com.winterblueslivewallpaper.lwxw.pcap,74,32919,7,0,0,39,34,39,19719,38,14103,0.72,107,87.0,505.62,371.13,0.0,2852,1452,1.03,15.78,15.78,1.5,0.09,815.2,8.16,1.6,0.03,781.7,0.03,1
1-com.winterfunnylivewallpaper.lwxw.pcap,788,333296,16,0,0,637,151,413,128455,380,205141,1.6,60,125.0,311.03,539.84,0.0,4252,2068,1.09,0.00,0.00,0.35,0.02,160.01,12.33,0.33,0.01,244.13,0.01,1
1-com.wintermeditationslwp.lwxw.pcap,418,180901,6,0,0,39,379,229,130612,194,51305,0.39,108,56.0,570.36,264.46,0.0,1278,2050,1.18,0.00,0.00,0.5,0.1,77.41,98.61,0.36,0.0,453.36,0.0,1
1-com.xdroid.halloween.pcap,2453,1611930,34,15,0,2303,150,1217,192577,1238,1420161,7.37,60,1452.0,158.24,1147.14,0.0,5652,2852,0.98,0.00,0.00,0.69,0.01,105.67,0.01,0.74,0.01,979.15,0.01,1
1-com.xdroid.iphone4.eiffel.tower.pcap,851,355011,29,19,0,714,136,460,106815,432,260603,2.44,52.0,217.0,232.21,603.25,0.0,4209,2852,1.06,0.00,0.11,0.43,0.03,116.3,1.99,0.43,0.01,437.53,0.01,1
1-com.xdroid.iphone4.holy.bible.pcap,3,977,3,0,0,0,3,3,977,3,977,1.0,404,404,325.67,325.67,0.0,404,404,1.0,10.56,10.56,0.43,0.03,116.3,1.99,0.43,0.01,437.53,0.01,1
1-com.xdroid.iphone4.lighter.pcap,926,416969,25,7,0,790,136,490,151812,446,266763,1.76,54.5,205.5,309.82,598.12,0.0,4306,2948,1.1,0.03,0.00,0.42,0.05,177.36,12.35,0.41,0.01,362.81,0.01,1
1-com.xdroid.iphone4.vatican.pcap,992,451967,33,15,0,848,143,508,159125,497,294430,1.85,52.0,205,313.24,592.41,0.0,7052,2888,1.02,0.03,0.00,0.51,0.05,191.43,25.48,0.53,0.01,484.68,0.01,1
1-com.xmasamazinglivewallpaper.ny.pcap,918,383219,21,0,0,791,126,478,148796,446,235532,1.58,52.0,103.0,311.29,528.1,0.0,5652,4252,1.07,0.02,0.00,0.34,0.05,172.86,13.33,0.39,0.01,274.49,0.01,1
