apkNum,totalPkts,totalPktSize,totalBytesIn,medPktsIn,medPktsOut,avgPktsIn,avgPktSize,maxOutPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgSizepktFlowTCPOut,Result
0-com.appybuilder.eulaorma.ElRadioaficionado,12548,10814659,808756,104.0,2778.0,352.67,0.0,2556,1.42,0.15,0.0,65.01,1.71,2436.02,0
0-net.Lion.Utils.KiteMalta,415,277039,26431,172.0,1631.5,258.79,0.03,4484,2.99,0.03,0.0,1.07,2.79,1661.14,0
1-com.hyrulia.audioupload,875,363068,145435,60.0,90.0,321.76,0.0,4306,1.02,0.05,0.0,1.63,0.41,289.83,1
1-com.kandm.secretCAS,813,361399,131409,60.0,176.0,315.13,0.0,5724,1.04,0.02,0.0,1.35,0.44,373.72,1
1-com.saenzapps.eminem,17515,2095534,1663298,60.0,52.0,186.68,0.01,468,1.04,0.0,0.0,0.25,0.27,12.79,1
1-com.jbapps.contact.theme.pinkleopard,14,2362,1525,86.0,86.0,169.44,0.01,404,1.0,0.0,0.0,0.17,0.29,7.57,1
1-com.cartoonchhaya.scoobydoo,1072,535541,282219,69.0,83.0,485.75,0.0,7052,1.16,0.05,0.0,159.37,0.46,411.35,1
1-com.wintermeditationslwp.lwxw,418,180901,130612,108.0,56.0,570.36,0.0,1278,1.18,0.0,0.0,98.61,0.36,453.36,1
0-com.bat.irapp,1488,852524,246040,150.0,1522.0,792.71,0.0,12866,1.71,0.25,0.16,3.68,1.41,1149.83,0
0-com.maruti.allah.keypad.passcode.lock.screen,625,340151,62938,172.0,1740.5,765.77,0.0,7208,7.52,0.56,0.29,9.83,0.8,701.66,0
1-com.Network4U.TwinCameraFree,16316,1952403,1549955,60.0,52.0,187.17,0.01,468,1.03,0.0,0.04,0.5,0.27,12.98,1
0-com.edujoy.shopping.list,3202,2352821,171982,61.0,1448.0,122.58,0.0,5933,0.78,0.02,0.0,6.39,0.81,1094.51,0
0-com.zghari.receitas.faceis,2017,1301022,641870,1533.0,186.5,1913.99,0.0,11488,1.53,0.08,0.0,13.25,1.82,604.66,0
0-com.sharefaith.sfchurchapp_8dfe0b4ac90bfc65,85,8087,4352,187.0,132.0,240.7,0.04,1226,3.32,0.06,0.02,0.30000000000000004,1.19,122.32,0
0-com.wallpapers4k.coolwallpaper,908,538288,77919,52.0,1452.0,182.48,0.0,4252,0.89,0.03,0.0,9.96,0.71,858.37,0
1-jscompany.games.SeparateTrash_tool,911,369738,133200,60.0,103.0,278.08,0.0,7052,1.1,0.03,0.0,1.0,0.42,328.89,1
0-com.bh.superflashcard.oat.android,27,3559,2114,60.0,87.5,124.35,0.01,594,1.7,0.05,0.0,0.17,0.23,65.69,0
1-com.jb.gosms.theme.ta.summer,785,337988,129082,60.0,149.0,318.72,0.0,5652,1.06,0.03,0.0,0.63,0.49,397.71,1
1-com.svdev.imageeffect,967,468592,160340,57.0,309.0,315.01,0.0,5652,1.08,0.03,0.0,33.12,0.42,396.85,1
0-id.akusantri.wallpapermuslimahhd,271,197920,40377,52.0,1470.0,360.51,0.0,4344,0.7,0.02,0.0,0.07,0.8,835.04,0
0-com.CartersSimonson.NeatBlock,4897,4251177,163186,148.0,1552.0,148.43,0.01,3716,1.74,0.07,0.0,0.56,1.92,1761.9,0
0-com.begunity.thumbofwars,5573,5175661,180840,262.0,1684.0,691.62,0.04,5359,4.09,0.72,0.09,0.09000000000000001,2.33,2037.19,0
0-com.asqteam.fruitsplash,6754,6208773,241261,1225.5,1608.0,1010.98,0.0,4927,2.6,0.05,0.06,90.61,2.43,1506.4,0
