apkNum,totalPkts,totalPktSize,totalDnsPkts,totalHttpPkts,totalHttpsPkts,totalTcpPkts,totalUdpPkts,totalPktsIn,totalBytesIn,totalPktsOut,totalBytesOut,PktSizeRatio,medPktsIn,medPktsOut,avgPktsIn,avgPktsOut,avgPktSize,maxOutPktSize,maxInPktSize,ratioNumPkts,minTimeOut,minTimeIn,avgNumpktFlowTCPIn,avgNumpktFlowUDPIn,avgSizepktFlowTCPIn,avgSizepktFlowUDPIn,avgNumpktFlowTCPOut,avgNumpktFlowUDPOut,avgSizepktFlowTCPOut,avgSizepktFlowUDPOut,Result
0-com.bkl.bylined.pcap,131,53917,8,0,0,84,47,66,20518,65,33399,1.63,61,229,310.88,513.83,0,1470,1500,1.02,0,0,0.41,0.07,112.78,30.82,0.46,0.02,324.91,0.02,0
0-com.bkl.bylined.pcap,8,954,0,0,0,6,49,4,470,3,432,0.92,183,52,117.5,144,0.01,314,328,1.33,0,0.04,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.5,0
0-com.blackboard.community.manatee.pcap,1489,1047214,28,2,0,1265,224,682,117245,807,929969,7.93,52,1470,171.91,1152.38,0,1278,2888,0.85,0.02,0,0.37,0.07,34.63,38.78,0.55,0,745.97,0,0
0-com.bnpparibas.leasingsolutions.sah.mobile.manitou.pcap,22,4596,2,0,0,20,2,11,2036,11,2560,1.26,64,64,185.09,232.73,0,653,1453,1,0,0.09,0.42,0.5,72.58,0.5,0.42,0.5,153.33,0.5,0
0-com.bnpparibas.leasingsolutions.sah.mobile.manitou.pcap,18,3681,2,0,0,36,2,8,2033,9,1583,0.78,81.5,81,254.12,175.89,0,1093,876,0.89,0,0,0.44,1,80.56,1,0.56,1,143,1,0
0-com.boomfruit.mementobay.pcap,59,16836,4,0,0,55,4,27,7992,32,8844,1.11,60,79,296,276.38,0,1452,1351,0.84,0.05,0,0.46,0.25,214.88,0.25,0.73,0.25,251.31,0.25,0
0-com.bowling.pins.champs.pcap,306,192265,8,2,0,285,21,135,33869,171,158396,4.68,52,1452,250.88,926.29,0,2852,1470,0.79,0,0,0.28,0.05,115.94,0.05,0.61,0.05,631.26,0.05,0
0-com.braveorange.firewire.pcap,4111,3219486,22,34,0,4058,53,1859,167164,2252,3052322,18.26,64,1500,89.92,1355.38,0,1470,1500,0.83,0.02,0,0.71,0.02,59.6,0.02,1,0.02,1424.36,0.02,0
0-com.BreakfastPotatoesRecipes.FirdausStudio.pcap,195,160426,2,0,0,181,14,73,18487,122,141939,7.68,52,1470,253.25,1163.43,0,2888,1470,0.6,0,0,0.36,0.07,105.81,0.07,0.9,0.07,1097.72,0.07,0
0-com.bredir.boopsie.coronado.pcap,2,100,0,0,0,2,0,1,60,1,40,0.67,60,40,60,40,0.02,60,40,1,0,0,0.5,0.07,0.5,0.07,0.5,0.07,0.5,0.07,0
0-com.brosgames.flyingbikeracing.pcap,394,127116,14,12,0,380,14,215,21872,179,105244,4.81,52,79,101.73,587.96,0,1382,2948,1.2,0.03,0,0.38,0.07,44.23,0.07,0.3,0.07,269.95,0.07,0
0-com.browserallinone.sk.pcap,2976,2125448,48,1,0,2194,782,1221,147447,1755,1978001,13.41,61,1470,120.76,1127.07,0,2888,2960,0.7,0.03,0,0.34,0.03,48.92,2.03,0.62,0,758.76,0,0
0-com.bubblearcade.bubble.pcap,333,210573,2,0,0,319,14,145,40922,188,169651,4.15,52,1470,282.22,902.4,0,2888,2888,0.77,0,0,0.38,0.07,135.91,0.07,0.64,0.07,675.52,0.07,0
0-com.bubblearcade.bubble.pcap,11,7066,0,0,0,11,14,4,5727,6,1263,0.22,2811.5,52,1431.75,210.5,0,4306,1015,0.67,0.05,0,0.4,0.07,263.6,0.07,1,0.07,234.4,0.07,0
0-com.bubblesoft.android.bubbleds2.pcap,51,7683,1,0,0,0,51,51,7683,50,7610,0.99,151,151,150.65,152.2,0.01,161,161,1.02,0,0,0.4,0.07,263.6,0.07,1,0.07,234.4,0.07,0
0-com.BytesCrafter.DanceEvolutionFreetyle.pcap,555,259415,18,0,0,470,85,265,68994,290,190421,2.76,52,237,260.35,656.62,0,1470,2888,0.91,0,0,0.37,0.01,133.03,0.01,0.5,0.01,412.03,0.01,0
